_id,category,productId
Zvf8JKFrmgTMsZ4bM,GzqxDJe2DCk7vYvj3,Zvf8JKFrmgTMsZ4bM
hQD6dgHfQ5FwsSCqv,GzqxDJe2DCk7vYvj3,hQD6dgHfQ5FwsSCqv
GR9TgzKsd69HQEA7Q,GzqxDJe2DCk7vYvj3,GR9TgzKsd69HQEA7Q
5ttmbceRbCJFurcyx,icdxH5D8PZ6yMqrJb,5ttmbceRbCJFurcyx
HPgDhx76gb8a5X4Em,GzqxDJe2DCk7vYvj3,HPgDhx76gb8a5X4Em
THzsvqduCow96eCkx,GzqxDJe2DCk7vYvj3,THzsvqduCow96eCkx
QzKWCykWHDuDpxvu2,36vL4oiyydM68Mkyu,QzKWCykWHDuDpxvu2
EzRMx9irsexpzNq3q,GzqxDJe2DCk7vYvj3,EzRMx9irsexpzNq3q
DArwDrQSLHRyoy5Xi,x6gEaBuQnwHgSBNY3,DArwDrQSLHRyoy5Xi
DArwDrQSLHRyoy5Xi,Kive8CqkAqMybxcbo,DArwDrQSLHRyoy5Xi
AZecu39Xs9tw9zqG3,GzqxDJe2DCk7vYvj3,AZecu39Xs9tw9zqG3
3ejeSSwcomrbhYdWk,vSZi4ketZvgcCN7Qx,3ejeSSwcomrbhYdWk
wa8vonEaAQt2xxC2k,XtsjxrTeGF6cSALic,wa8vonEaAQt2xxC2k
tamK3amsBatt7p9o6,XtsjxrTeGF6cSALic,tamK3amsBatt7p9o6
r9dnqGhJs9rpYxfrg,DXnhPPYAxSkjd5NsM,r9dnqGhJs9rpYxfrg
S6Qn7PLyDodPq5XcW,p77aoMmzYv2nLANRr,S6Qn7PLyDodPq5XcW
Bwt87HmS7egsLxNjg,p77aoMmzYv2nLANRr,Bwt87HmS7egsLxNjg
zcEX7YBddzkE657Ka,p77aoMmzYv2nLANRr,zcEX7YBddzkE657Ka
FFSzR2jzdcuy2L82r,p77aoMmzYv2nLANRr,FFSzR2jzdcuy2L82r
NpjF92dwvM7dmNBXs,p77aoMmzYv2nLANRr,NpjF92dwvM7dmNBXs
TAQGEdpZijLMxmzv3,p77aoMmzYv2nLANRr,TAQGEdpZijLMxmzv3
bka8Z4kXvDmnB9SMG,p77aoMmzYv2nLANRr,bka8Z4kXvDmnB9SMG
ZTdAsYfF5eGuF8WTN,QPYECDXXMGjHNQczr,ZTdAsYfF5eGuF8WTN
ywthahKEcb4vY43W8,vJBAnpNdjopTSP2TH,ywthahKEcb4vY43W8
3Mk7dzkYt2qxKqoeM,Cgjwnv2ToasRXwXDb,3Mk7dzkYt2qxKqoeM
zp6SbsDrgfyCoqQS4,Cgjwnv2ToasRXwXDb,zp6SbsDrgfyCoqQS4
kHciD5Z2HZFW8CjtT,N5kXtazLjiBoisoMW,kHciD5Z2HZFW8CjtT
73A4Y5xoBh7QiDZpH,c2jQt99DA23rBKJN5,73A4Y5xoBh7QiDZpH
e2GDuLuFHAKWiyZER,vSZi4ketZvgcCN7Qx,e2GDuLuFHAKWiyZER
GH3Y6XTmhrcLL255c,XsExfkHM5ed2GBHw5,GH3Y6XTmhrcLL255c
ymMkgT763wvkWXfXm,DXnhPPYAxSkjd5NsM,ymMkgT763wvkWXfXm
CyyMdwr2Fryf4qQFw,GzqxDJe2DCk7vYvj3,CyyMdwr2Fryf4qQFw
sxwjRN5zCsaBHcBeS,XtsjxrTeGF6cSALic,sxwjRN5zCsaBHcBeS
rfuMgHPMASeiehtEh,XsExfkHM5ed2GBHw5,rfuMgHPMASeiehtEh
