productId,userId,rating
wP6Qy9nZ5z5zgQb9x,,
joJF2rNWCziFFZJcn,,
N4SLMiiNWTH3eTfAq,,
TqsfYTcZqhygHRHvQ,,
9paKZ6aWDo56mDrDu,,
zy9LAZw6Eqjv58Juk,,
ns3Jd4jjvQTfgishd,,
DnKpvmNnnr4f4GAQi,,
wtrqxmeuxkLzbTSjg,,
jrAgDmidwZYcj8zD9,,
bGAQeLfAMEa7NdYLM,,
PPT99EgjeWi9w525q,,
8BQywqXkKWTvgfsZb,,
DD4vPfMv5bxTRxGJ6,,
Sv8YXrSibLmCZaSYa,,
moC9Q7A2pH4tbNyRY,,
ijkxHCMSKqqMpyooN,,
DRsNE3mQsA2ThGA8R,GoM4Bb2kKp6NqFfqP,5
mkLPM43FH5uF4tfo6,,
GnGFRRRKbthS6wYZR,,
DJv2m6XK32nfBGmCo,,
K9La8SbvRGhyTnHAL,,
24mvq38iLEmww84K7,,
2qoz9HjSGy4EK2Yue,,
qq97WLLvZTs36pivM,,
CPfBQG745uSmny4GQ,,
J8dRmcMnyEoLn9uDz,,
KPNXXfgu9QYnyLHFq,,
st6zJYuvrtyDF4wtd,,
Fd8HLSBBD3cqDajao,,
539vLriADykqMF3Hw,,
Jq7XZqHiFFTRedain,,
TmJhuyCmMmk6HvqeM,,
mRWdaeBbjrSa7ds84,,
NLme6bfs7hrbrL9Ge,,
cg7yHPWxgYi6BJdwY,,
QKTEqchXnMQ9vgr6a,,
7NQYKP2cAMiDEkowB,,
2P6N8wzpFJseMkD3E,,
LMzscuDw9bGrQzwM4,,
G2nhkbwTjPDzt5ey5,,
4dJiBTkZYJHxoRgRZ,,
kfKS8uukyTqThYGqK,,
qcN2PXLAHYLfpqpKi,,
4mrBuCo6xnGyg3deC,,
Pmp6TJ6ZQ9Sm76GgY,,
F9tXxiTeNnE9kee8h,,
gkQvv59ynb6jJnMTN,,
Z2mgGSjXYPHWDC9AT,,
KBiigXhjhw5hfNvyJ,,
kpzrNX5JiXaF3fJKH,,
Ha73D2yyhShChzuR3,,
fqCL7uFLgqieBcyAu,,
K4B5iJ56J6byETeWG,,
qEpQucQNh6aoy6Fw7,,
6zJ2zn7PG6RuMNhSq,,
XvrfT2As2h6GpL9Rh,,
ZiTGy8nbr22t66EcE,,
SE4hyeSwkqY3q39oF,,
EGgszFm7qr8rEn9SX,,
ysojFPnqef2kqpxqX,,
Y5N3gi9YWdFwAtqLh,,
KqJkdP9e9LQYqfYH6,,
6CWSFBj8WmezyEyMD,,
cXyWgitKsukhdnsYX,,
yxLjw8waB5Ea49hsm,,
2raqRgbWZbJdtdeuJ,,
recf5HgNQhXwZR4nk,,
yCzSZPToEvbNZzMoS,,
f8Pxk34tX2WB2MjWs,,
9rmNgFJM4YFSxuzAQ,,
xs5BpTpg2KQToTNLR,,
jgDtmRrqsMRkDNB6r,,
PGSM22uDtRcmRrYLf,,
gkDjzxgfnXev39TxP,,
9bYqaQaPXGEJWa4j2,,
6uEgjwHwMgRw9gYHQ,,
4uRYfsDg5B9tvWbo5,,
BB4Y7xwsz9whSkugQ,YDuvG9RTKakE9ASos,
c7gATRJfyh7wAJadR,,
9YJyBf2mFKFYmGvXW,,
HGzT82gLp8tST2bLJ,,
ZCFEoWfLgvpwvPTdB,,
Pvb2hBwcbwitJYXc5,,
o2XxA4mMwbHiDjNvb,,
3zZzqQ7jRtLgajhB8,,
pcs52difHWf2ZFeiC,,
jXH388bHLRAE2fFnz,,
Wcw9hrxPfqa8dAk8D,,
A8v6k32nE56Fk24aA,,
8ReWvYTSogcEWe4K7,,
6xhQcDnBygnCBLWkY,,
QgrsucPrtqdHNyLdx,,
cqWAG2WGTndp3CfJ6,,
hJLLZnggN7tjXb9Av,,
gWem6YLZm49pyo96j,,
Dyur7eNKbzRAkr5fQ,,
MgrpovyQd9ExJRWF4,,
aAeBMMfJ8dkADycXv,,
ENZQYgMaE6kY8skB7,,
qXPF8EJ7BEc3quoAg,,
bqZcXuCkP7fMfD5Pa,,
GNRZNuP8RCuCNb2Dk,,
Dtinkw6nJFMkuTzA9,,
dKiDuZo95uqfKwkkC,,
ucKGGhfddjrTHRpug,,
gicpxrKuByWRMD6Nc,,
jsAqQg88ujsxHYpMk,,
yGshuyH2kNbuTiEhk,,
75jNPKGrCxBv7xrS6,,
mchxLwErWWAGWxkBy,,
pcAuphCdkrtM8QkMS,,
iR7thw9rXWx9jFmE7,,
vyobEAExceFsSj8X5,,
4WXHyW2au37qBFnDi,,
vsQNCeks5wGB6p4iZ,,
d3zss92J2mjukFuiJ,,
in9sCGgqqnzhyvrH3,,
yc3c2G8RxAv5wyyTA,,
3gFYi92ZSb9ZBkDiF,,
4CEz2taBmCHYgDgsj,,
7rvGu9BfCz4c6irCL,,
wTLmH2DvSKY4qZ7fk,,
YpExSH4NJZexR9aq6,,
zR2ffFt6u3baM89We,,
pd9eYCDmk5Q6jdmp2,,
SSXiteP6jfFoDL5um,,
uZpACmbuHHPH7KqE8,,
rPz5h7hHC9vTyELry,L8AwZZrYJJHr6QcoW,4
WXTPqjz8ufBCdyfru,,
8aWZqybAnnx7fGrya,,
62nbnwrjm8J6PTC6E,,
b67yh2JD4bJi2Hjwa,,
YfDPYryfkmYRQq4vP,,
vTjsKpiEbvNzK5BPm,,
CRfWvwgQ9FMHhAZWf,,
esvndikPyui2hZAH8,,
DEXo8xSJp64dpmzGi,,
yZPsQzJrc6uNLSSYd,,
9XTwEu5M428xLhbPh,,
rqcC4hxpfmWTxPFbo,,
NNywidPdn4FRRjPx7,,
ZJcPkezd99Z2crDm6,,
KKuXcF6u2zLqc5kyS,,
TSa4BLRjYeXP5Enr7,,
T39ab73CeyAXvYxTe,,
ZuqZ8Jm52WTkdGgXg,,
d8pcbNiCS65jjnrnA,,
xDT8jnW9JKbwgFR6u,,
wZzzTkLetdjnf8Hiw,,
ebEyF4dKumZ9CcYT9,,
kefCt2bHimqik2gu2,,
RCsgwh8Q6zr2T5wZB,,
vHE2evGQ3utFfqzWC,,
zxmiQvCo9sM6QqiA5,,
TcRRy27EpqJSwiCvF,,
hY4ek25RD5KW7pofA,,
waCBrz6qjPyQpGRjh,,
wQw2dXYa7FwqbyXjg,,
uSrbP8sZgtrw4nsxg,,
gECPeCvYdFcoNZxpL,,
9vRbPHvPRRsrDsKT7,,
SuNJkCy9jQjTJoKhR,,
AaxExAswBvh3kuqza,,
2P2bxKvhe5n74R8cY,,
54z35pbp2jQfvSZEm,,
nRMzoLwML5pnX3JTk,,
7TFCa6odgsBaxez8b,,
2MEKEihfKY44SYyJg,,
tgyWEMapPEjgqjWkD,,
JZdwoQfCF3zW3q3KZ,,
eLmF5wnHTikBrhoqo,,
kjiKLeYX3E4vpLCfn,,
8FScJab398qJkX2Si,,
C4r7Tiubq5GAFAdWJ,,
5rHSNGTrdZkPAbr6j,,
3naronjYxQZzTwNiK,,
dFs9dYr7wDiXnKu8f,,
XujHJZY63e7s4xmp3,,
JruBvFgSLS4eu4ciB,,
Rqfn5fkGBmDhBTbmm,,
NQ8ZiN684Djm8qwoM,,
dMuNkqARSgXTXPuWY,,
Y7B7tdhjupH6Y2NzD,,
W5kxkqEo4eb2i2rZJ,,
BWgdRE5SHFwLpAadY,,
yAojDjGzvrAAGMmhT,,
eS7epqf3sBLM35WyP,,
hv7m2855Th2gyWyBZ,,
N5LbJgt4EpkzK9wSc,,
A32nyrWEziTBtRZsn,,
gYdC67KZvALs6Sru3,,
RPPbghmgGPzJygPcm,,
yybuFHpbdcYKNd76c,,
FjauoaAdddJbCKsNt,,
2p5TQ7ZCS3KnAtZWh,,
XLS7fFSgjZH8vCoaG,,
Ewx8FTESND8GYnYpD,2vczXSkuWnmdSRFEa,5
hfjpr6GNiahus4hY7,,
HPnDCaf8EKfFLnS4q,,
WnQyiFj3R72ZnKqJw,,
fGaMC48HiizFT8GsG,,
r8EGCXNvwf3E2HfjA,,
2TK2a2sEhoFyMQQWH,,
3jADoXWxP8SmtZiQa,,
c3HR8qFmoqsFjKcch,,
eNdANCJwke8o38bdL,,
KTCEfYiavWWugAov6,,
ARjxnyFuMatDgGuRy,,
PSyGN7Yazx5esAGNk,,
47vB4xXsKKAPGBJ4c,,
N3SEZnhpeD7gw76kB,,
6ANmQNsArWQm3wZdk,,
wTBWb9thQZz8zkeyc,,
xaKukN6qv949tXvis,,
NEDfxaG34RYgS5XaB,,
4z4XepGt4jTwSftbC,,
C4F962gxF6tZLF3hj,,
euihawweGyMcy45As,,
4zwSCzkuB7dd4vz63,,
xz5xuw2DS6EdtLWPR,,
KGgxBD4HcMam42Eam,,
CyPWfzKw7dBxmvdCD,,
