Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,754.400024,760.000000,750.549988,754.500000,744.305359,3526253
2021-09-24,756.000000,764.900024,743.000000,744.799988,734.736450,4445517
2021-09-27,749.700012,753.799988,736.400024,750.250000,740.112732,3803939
2021-09-28,754.000000,756.900024,733.000000,738.700012,728.718811,3748173
2021-09-29,737.650024,747.849976,736.000000,742.000000,731.974243,2734053
2021-09-30,745.799988,756.500000,736.000000,737.900024,727.929626,4356469
2021-10-01,735.849976,738.250000,722.000000,734.950012,725.019531,4008108
2021-10-04,738.849976,747.500000,736.049988,744.200012,734.144531,3414151
2021-10-05,744.150024,753.799988,742.000000,743.950012,733.897888,3270764
2021-10-06,747.700012,749.000000,721.849976,724.000000,714.217468,3615568
2021-10-07,730.000000,738.799988,726.549988,736.150024,726.203369,3237419
2021-10-08,739.700012,747.000000,733.500000,739.900024,729.902649,2878232
2021-10-11,743.900024,746.000000,736.500000,737.450012,727.485718,2118247
2021-10-12,737.650024,740.950012,728.849976,736.900024,726.943176,2152513
2021-10-13,740.599976,764.599976,739.099976,759.000000,748.744568,9083125
2021-10-14,766.099976,817.700012,764.250000,812.799988,801.817627,19754735
2021-10-18,820.900024,829.900024,807.000000,810.549988,799.598022,8883845
2021-10-19,815.000000,820.000000,785.000000,792.250000,781.545288,5543852
2021-10-20,792.000000,802.900024,777.500000,794.900024,784.159485,5467049
2021-10-21,799.000000,802.900024,775.299988,779.349976,768.819580,4607499
2021-10-22,780.299988,787.299988,753.900024,761.799988,751.506714,3860760
2021-10-25,765.000000,765.549988,738.549988,752.049988,741.888428,2973109
2021-10-26,752.000000,758.549988,740.049988,749.900024,739.767578,3093933
2021-10-27,753.650024,756.549988,743.650024,745.849976,735.772217,3246881
2021-10-28,724.349976,734.500000,681.150024,688.099976,678.802490,18160551
2021-10-29,697.000000,709.599976,687.000000,693.000000,683.636353,7612968
2021-11-01,705.000000,707.000000,690.000000,704.400024,694.882324,3233662
2021-11-02,707.000000,715.000000,700.650024,702.349976,692.859985,3028354
2021-11-03,702.000000,719.799988,702.000000,709.200012,699.617432,3036191
2021-11-04,713.000000,716.450012,713.000000,713.700012,704.056641,453287
2021-11-08,717.000000,735.099976,709.099976,730.450012,720.580322,3227351
2021-11-09,731.000000,744.500000,727.799988,737.349976,727.387024,3456614
2021-11-10,736.400024,745.049988,730.099976,737.900024,727.929626,2751881
2021-11-11,734.950012,741.549988,728.500000,735.099976,725.167480,2325810
2021-11-12,737.700012,755.500000,734.250000,750.299988,740.162109,4585484
2021-11-15,753.900024,756.500000,740.549988,749.799988,739.668823,2434426
2021-11-16,752.700012,761.700012,743.450012,746.450012,736.364136,3378779
2021-11-17,744.400024,745.000000,733.000000,735.549988,725.611389,2444025
2021-11-18,739.450012,741.299988,716.150024,726.049988,716.239746,2202581
2021-11-22,725.000000,733.400024,704.000000,715.000000,705.339111,3557560
2021-11-23,714.000000,733.599976,705.200012,729.250000,719.396484,3487221
2021-11-24,735.650024,772.349976,732.000000,763.049988,752.739807,11647665
2021-11-25,764.799988,774.299988,755.500000,762.450012,752.147949,6140941
2021-11-26,750.000000,766.000000,713.250000,717.150024,707.460022,7219931
2021-11-29,707.000000,715.000000,682.650024,702.599976,693.106567,5930351
2021-11-30,704.000000,712.650024,679.700012,683.849976,674.609924,6190734
2021-12-01,695.000000,711.049988,682.750000,707.950012,698.384338,5582125
